model,scenario,threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,cost_at_tuned,cost_at_0.5,cost_reduction
Logistic Regression,balanced (1:1),0.5,0.9271290605794557,0.9219367588932806,0.9147058823529411,0.9183070866141733,0.06279809220985691,0.08529411764705883,1179,79,87,933,0.07287093942054433,0.07287093942054433,0.0
Logistic Regression,avoid false alarms (10:1),0.925,0.8722563652326603,0.9892617449664429,0.7225490196078431,0.8351274787535411,0.006359300476947536,0.2774509803921569,1250,8,283,737,0.15935030728709393,0.3849868305531168,0.5860889395667047
Logistic Regression,avoid missed phish (1:10),0.11,0.8546971027216856,0.7580524344569288,0.9921568627450981,0.859447983014862,0.25675675675675674,0.00784313725490196,935,323,8,1012,0.1769095697980685,0.41659350307287096,0.5753424657534246
Random Forest,balanced (1:1),0.5,0.9552238805970149,0.9544554455445544,0.9450980392156862,0.9497536945812808,0.03656597774244833,0.054901960784313725,1212,46,56,964,0.04477611940298507,0.04477611940298507,0.0
Random Forest,avoid false alarms (10:1),0.875,0.9056189640035118,0.995079950799508,0.7931372549019607,0.8827059465357338,0.003179650238473768,0.2068627450980392,1254,4,211,809,0.11018437225636524,0.22651448639157157,0.5135658914728682
Random Forest,avoid missed phish (1:10),0.22,0.9297629499561019,0.8726169844020797,0.9872549019607844,0.9264029438822448,0.11685214626391097,0.012745098039215686,1111,147,13,1007,0.12159789288849868,0.2660228270412643,0.542904290429043
Gradient Boosting,balanced (1:1),0.42500000000000004,0.9543459174714662,0.9429400386847195,0.9558823529411765,0.9493670886075949,0.04689984101748808,0.04411764705882353,1199,59,45,975,0.0456540825285338,0.05267778753292362,0.13333333333333341
Gradient Boosting,avoid false alarms (10:1),0.925,0.9029850746268657,1.0,0.7833333333333333,0.8785046728971962,0.0,0.21666666666666667,1258,0,221,799,0.09701492537313433,0.2660228270412643,0.6353135313531353
Gradient Boosting,avoid missed phish (1:10),0.165,0.9258121158911325,0.8658641444539983,0.9872549019607844,0.9225836005497022,0.12400635930047695,0.012745098039215686,1102,156,13,1007,0.12554872695346794,0.31343283582089554,0.5994397759103642
XGBoost,balanced (1:1),0.46,0.9596136962247586,0.9487427466150871,0.961764705882353,0.9552093476144109,0.04213036565977742,0.03823529411764706,1205,53,39,981,0.04038630377524144,0.041264266900790166,0.021276595744680844
XGBoost,avoid false alarms (10:1),0.9400000000000001,0.9240561896400351,1.0,0.8303921568627451,0.9073379753615426,0.0,0.1696078431372549,1258,0,173,847,0.07594381035996488,0.25065847234416155,0.6970227670753064
XGBoost,avoid missed phish (1:10),0.09,0.9244951712028094,0.8617747440273038,0.9901960784313726,0.9215328467153284,0.1287758346581876,0.00980392156862745,1096,162,10,1010,0.11501316944688324,0.2032484635645303,0.43412526997840173
LightGBM,balanced (1:1),0.47500000000000003,0.9582967515364355,0.9468599033816425,0.9607843137254902,0.9537712895377128,0.04372019077901431,0.0392156862745098,1203,55,40,980,0.04170324846356453,0.04433713784021071,0.05940594059405938
LightGBM,avoid false alarms (10:1),0.935,0.931079894644425,1.0,0.846078431372549,0.9166224110462029,0.0,0.153921568627451,1258,0,157,863,0.06892010535557506,0.237928007023705,0.7103321033210332
LightGBM,avoid missed phish (1:10),0.095,0.9337137840210711,0.8781549173194082,0.9892156862745098,0.9303826648224989,0.11128775834658187,0.010784313725490196,1118,140,11,1009,0.10974539069359086,0.2497805092186128,0.5606326889279437
