feature,value,n,mean_shap
having_IP_Address,-1,754,0.7010420560836792
having_IP_Address,1,1524,-0.335288405418396
URL_Length,-1,1865,-0.03786778822541237
URL_Length,0,16,-0.03171422705054283
URL_Length,1,397,-0.1248650997877121
Shortining_Service,-1,294,-0.7275079488754272
Shortining_Service,1,1984,0.04814663901925087
having_At_Symbol,-1,336,0.253580778837204
having_At_Symbol,1,1942,-0.04167063534259796
double_slash_redirecting,-1,299,0.5758241415023804
double_slash_redirecting,1,1979,-0.020090816542506218
Prefix_Suffix,-1,1987,0.16495215892791748
Prefix_Suffix,1,291,-3.9629762172698975
having_Sub_Domain,-1,733,0.26356178522109985
having_Sub_Domain,0,687,0.5544390678405762
having_Sub_Domain,1,858,-0.7172183394432068
SSLfinal_State,-1,782,2.333319902420044
SSLfinal_State,0,217,3.6367928981781006
SSLfinal_State,1,1279,-1.9216512441635132
Domain_registeration_length,-1,1487,-0.196653813123703
Domain_registeration_length,1,791,0.29719793796539307
Favicon,-1,430,-0.3203345239162445
Favicon,1,1848,0.03989622741937637
port,-1,312,0.16917572915554047
port,1,1966,-0.013530850410461426
HTTPS_token,-1,360,-0.2157672494649887
HTTPS_token,1,1918,0.02721835859119892
Request_URL,-1,961,0.27988752722740173
Request_URL,1,1317,-0.14413781464099884
URL_of_Anchor,-1,674,5.655126571655273
URL_of_Anchor,0,1091,-0.6044379472732544
URL_of_Anchor,1,513,-2.1631829738616943
Links_in_tags,-1,806,0.620234489440918
Links_in_tags,0,896,-0.5843527913093567
Links_in_tags,1,576,-0.36471837759017944
SFH,-1,1753,0.17533770203590393
SFH,0,167,-1.3637709617614746
SFH,1,358,-1.327981948852539
Submitting_to_email,-1,423,0.0866694375872612
Submitting_to_email,1,1855,-0.014512350782752037
Abnormal_URL,-1,333,-0.3340953290462494
Abnormal_URL,1,1945,0.03937281295657158
Redirect,0,2015,-0.06317657232284546
Redirect,1,263,0.5578234791755676
on_mouseover,-1,289,0.13988658785820007
on_mouseover,1,1989,-0.0018896490801125765
RightClick,-1,98,0.06411024183034897
RightClick,1,2180,-0.0035451690200716257
popUpWidnow,-1,450,-0.4608685374259949
popUpWidnow,1,1828,0.058705028146505356
Iframe,-1,229,0.020763034000992775
Iframe,1,2049,0.008453888818621635
age_of_domain,-1,1012,-0.06454595923423767
age_of_domain,1,1266,0.033019427210092545
DNSRecord,-1,718,0.6004672646522522
DNSRecord,1,1560,-0.19251546263694763
web_traffic,-1,607,-0.22246842086315155
web_traffic,0,452,1.0527064800262451
web_traffic,1,1219,-0.6984957456588745
Page_Rank,-1,1719,-0.023285353556275368
Page_Rank,1,559,-0.06451788544654846
Google_Index,-1,321,0.9114736318588257
Google_Index,1,1957,-0.16396471858024597
Links_pointing_to_page,-1,136,-0.12169017642736435
Links_pointing_to_page,0,1269,0.42732688784599304
Links_pointing_to_page,1,873,-0.6202110052108765
Statistical_report,-1,285,0.1851540207862854
Statistical_report,1,1993,-0.014985757879912853
