k,accuracy,auroc,aupr,precision,recall,f1,log_loss,brier,flipped
0,0.9504242965609647,0.9894529534808738,0.9867644872043315,0.9376884422110553,0.9501018329938901,0.9438543247344461,0.13671134881736172,0.03877381546613616,
1,0.9504242965609647,0.9894517382900159,0.9868045811471252,0.9376884422110553,0.9501018329938901,0.9438543247344461,0.1366382547939739,0.03876085150217561,having_At_Symbol
2,0.7824921840107191,0.9245487996344707,0.8156736073395935,0.8998384491114702,0.5672097759674134,0.6958151155527795,0.5103171358654853,0.17123581389809664,"having_At_Symbol,Prefix_Suffix"
3,0.7664135774899509,0.9159229698616466,0.8066997691169715,0.8936535162950258,0.5305498981670062,0.665814696485623,0.6049025298188297,0.1780735815876022,"having_At_Symbol,Prefix_Suffix,having_IP_Address"
4,0.7632871817775793,0.9159100078258292,0.8066698867008986,0.8923611111111112,0.5234215885947047,0.6598202824133504,0.6055252828927115,0.1785470561758892,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token"
5,0.7610540419830282,0.9157617545411684,0.8060508367539698,0.8914185639229422,0.5183299389002036,0.6555054732775274,0.6064201717320422,0.17903320926110114,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting"
6,0.758820902188477,0.9156183620199388,0.806077772500727,0.8904593639575972,0.5132382892057027,0.6511627906976745,0.6071203995758253,0.17926532333259942,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting,Shortining_Service"
7,0.7682000893255918,0.9177319839854049,0.809717988250276,0.8943781942078365,0.5346232179226069,0.6692160611854685,0.587122233577987,0.17723487655775133,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting,Shortining_Service,URL_Length"
8,0.762840553818669,0.9088339514604162,0.8090847126999257,0.8921739130434783,0.5224032586558045,0.6589595375722543,0.6062690669938129,0.1745883258513608,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting,Shortining_Service,URL_Length,having_Sub_Domain"
9,0.7641804376953998,0.908811267897736,0.8090048826522376,0.8927335640138409,0.5254582484725051,0.6615384615384615,0.6062586879589451,0.1745740801248499,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting,Shortining_Service,URL_Length,having_Sub_Domain,Iframe"
10,0.7641804376953998,0.9087654957087561,0.8093269563612171,0.8927335640138409,0.5254582484725051,0.6615384615384615,0.6061336343973129,0.17431738975058264,"having_At_Symbol,Prefix_Suffix,having_IP_Address,HTTPS_token,double_slash_redirecting,Shortining_Service,URL_Length,having_Sub_Domain,Iframe,popUpWidnow"
