antecedents_str,support,confidence,lift,leverage,conviction
SSLfinal_State=-1 AND URL_of_Anchor=-1,0.18602540834845735,1.0,2.2512768130745657,0.10339433993959177,inf
Links_pointing_to_page=0 AND URL_of_Anchor=-1,0.16901088929219601,1.0,2.2512768130745657,0.09393754055487301,inf
Request_URL=-1 AND URL_of_Anchor=-1,0.16855716878402904,1.0,2.2512768130745657,0.09368535923794717,inf
URL_of_Anchor=-1 AND having_Sub_Domain=0,0.14745916515426497,1.0,2.2512768130745657,0.08195892800089591,inf
Domain_registeration_length=1 AND URL_of_Anchor=-1,0.13373411978221417,1.0,2.2512768130745657,0.07433044316388945,inf
URL_of_Anchor=-1 AND web_traffic=0,0.09528130671506352,1.0,2.2512768130745657,0.05295807655442505,inf
SSLfinal_State=0 AND URL_of_Anchor=-1,0.0911978221415608,1.0,2.2512768130745657,0.05068844470209255,inf
URL_of_Anchor=-1 AND age_of_domain=-1,0.15324410163339383,0.9977843426883308,2.2462887551430857,0.08502308539826943,250.85450695704282
Links_in_tags=-1 AND URL_of_Anchor=-1,0.12057622504537205,0.9953183520599251,2.240737127620097,0.06676526098398886,118.72050816697026
Prefix_Suffix=-1 AND URL_of_Anchor=-1,0.2967332123411978,0.9942987457240592,2.238441711517698,0.16417080930234088,97.48865698729398
URL_of_Anchor=-1 AND web_traffic=-1,0.12726860254083486,0.9920424403183024,2.233362143474503,0.07028339621740376,69.84649122806988
Iframe=1 AND URL_of_Anchor=-1,0.26156987295825773,0.9905498281786943,2.2300018603736897,0.14427406365591683,58.81455205411738
URL_Length=-1 AND URL_of_Anchor=-1,0.23593466424682397,0.9904761904761905,2.2298360815214746,0.1301265888452278,58.359800362976614
URL_of_Anchor=-1 AND having_IP_Address=-1,0.12636116152450091,0.9902222222222223,2.2292643286800593,0.06967826398793153,56.84396139251015
DNSRecord=-1 AND URL_of_Anchor=-1,0.11331669691470055,0.9900891972249752,2.2289648525881973,0.0624784359241241,56.08098911070788
URL_of_Anchor=-1 AND on_mouseover=1,0.246483666061706,0.9899772209567198,2.2287127630118593,0.13588903486813286,55.45444233624808
URL_of_Anchor=-1 AND port=1,0.24001814882032668,0.9897100093545369,2.2281111957276805,0.13229545110193972,54.01439531430431
Submitting_to_email=1 AND URL_of_Anchor=-1,0.22878856624319419,0.9892103972535556,2.2269864305892098,0.12605396350802534,51.51326101303403
Favicon=1 AND URL_of_Anchor=-1,0.2266333938294011,0.9891089108910891,2.226757956694546,0.12485610225262762,51.03324533905292
URL_of_Anchor=-1 AND popUpWidnow=1,0.22311705989110708,0.9889391654097537,2.2263758126282913,0.12290169704645242,50.25006187097856
URL_of_Anchor=-1,0.2967332123411978,0.9886621315192743,2.225752132654219,0.1634150373351866,49.02223230489981
SFH=-1 AND URL_of_Anchor=-1,0.2503402903811252,0.9883564711150918,2.225064006473608,0.1378310368707613,47.73532388663982
URL_of_Anchor=-1 AND having_At_Symbol=1,0.23559437386569873,0.9881065651760228,2.2245013990275324,0.12968552886848198,46.73230490018135
