feature,shap_mean_abs,permutation_drop,gini,shap_share,gini_rank,shap_rank,rank_shift
URL_of_Anchor,2.4498305,0.12980684811237922,0.23787102,0.22004904,2,1,1
SSLfinal_State,2.2263525,0.09820017559262505,0.32987913,0.19997576,1,2,-1
web_traffic,0.6991373,0.020807726075504785,0.027264234,0.06279801,5,3,2
Prefix_Suffix,0.6501266,0.0194907813871817,0.10488634,0.058395762,3,4,-1
having_Sub_Domain,0.5529964,0.013125548726953406,0.016561903,0.049671322,8,5,3
Links_in_tags,0.55022496,0.012071992976294943,0.022448389,0.049422387,6,6,0
Links_pointing_to_page,0.50777626,0.015715539947322155,0.011163853,0.045609552,14,7,7
having_IP_Address,0.4571734,0.011018437225636469,0.013412459,0.041064296,11,8,3
SFH,0.44382975,0.008033362598770799,0.028969813,0.03986574,4,9,-5
DNSRecord,0.3383433,0.010008779631255427,0.016792571,0.03039072,7,10,-3
Google_Index,0.26953748,0.002414398595258949,0.014601024,0.024210434,9,11,-2
Domain_registeration_length,0.23907146,0.0029850746268656357,0.012944321,0.02147391,12,12,0
age_of_domain,0.2187863,0.0038191395961369224,0.010852526,0.019651854,15,13,2
Request_URL,0.21058063,0.0047848990342405084,0.0113615785,0.018914804,13,14,-1
Page_Rank,0.16490133,0.007067603160667213,0.0088937245,0.0148117915,23,15,8
popUpWidnow,0.1384044,0.0049165935030728415,0.01063695,0.01243178,17,16,1
Shortining_Service,0.13582541,0.0017120280948199728,0.01402463,0.01220013,10,17,-7
URL_Length,0.12196578,0.0018876207199297057,0.010367842,0.0109552285,18,18,0
Redirect,0.12028916,0.0006584723441615092,0.010716203,0.010804631,16,19,-3
double_slash_redirecting,0.093440026,0.0015364354697102068,0.0068059415,0.008392984,28,20,8
Favicon,0.093322486,0.0028972783143107585,0.009693518,0.008382426,20,21,-1
Abnormal_URL,0.082499966,0.002151009657594338,0.009179772,0.0074103237,21,22,-1
having_At_Symbol,0.08066068,0.0005706760316066206,0.0051594684,0.007245115,30,23,7
Submitting_to_email,0.07397319,0.002414398595258949,0.009709686,0.00664443,19,24,-5
HTTPS_token,0.061030198,0.0011413520632133078,0.008730903,0.0054818634,24,25,-1
Statistical_report,0.040459022,0.0005706760316066317,0.005956917,0.0036341161,29,26,3
Iframe,0.03968785,0.00039508340649688776,0.009144902,0.0035648479,22,27,-5
port,0.035000104,-0.00017559262510978834,0.007837149,0.0031437844,25,28,-3
on_mouseover,0.030030165,0.0018437225636522615,0.007152105,0.0026973737,26,29,-3
RightClick,0.0078545045,8.779631255484421e-05,0.006981046,0.00070550846,27,30,-3
