scenario,n_features,delta_vs_full,accuracy,auroc,aupr,precision,recall,f1,log_loss,brier
All 30 features,30,0.0,0.9587357330992098,0.9938413759780543,0.9928143252199404,0.9486434108527132,0.9598039215686275,0.9541910331384016,0.09975276603681789,0.031122334538364604
Without SSLfinal_State,29,-0.039508340649692664,0.9192273924495171,0.981423594875152,0.9791314650517959,0.9188376753507014,0.8990196078431373,0.908820614469772,0.17345537965814994,0.056553402734949104
Without the 5 dead-service features,25,-0.019754170324846276,0.9389815627743635,0.98762780947037,0.9861573712842973,0.9357072205736894,0.9274509803921569,0.931560807483998,0.14151238800587787,0.04438276886540619
Without dead services or SSL,24,-0.06716417910447758,0.8915715539947322,0.9697048692290907,0.9665056281088522,0.890798786653185,0.8637254901960785,0.8770532603285216,0.22358971176215903,0.07096877010929105
Without the 7 reversed features,23,-0.015803336259877065,0.9429323968393327,0.9922164811870694,0.9908579238075472,0.928709055876686,0.9450980392156862,0.9368318756073858,0.11471487337936191,0.03716781240155455
Without reversed or no-signal features,20,-0.017559262510974505,0.9411764705882353,0.9915992549643069,0.9902207868942616,0.9267822736030829,0.9431372549019608,0.93488824101069,0.11961190529077584,0.038615808903819535
URL string only (no network),8,-0.22168568920105347,0.7370500438981563,0.8082815081517504,0.730420772571706,0.6838427947598253,0.7676470588235295,0.7233256351039261,0.5127890446790511,0.17468546490185588
URL string + TLS certificate,9,-0.047410008779631196,0.9113257243195786,0.958908865613018,0.9487169437924444,0.9106425702811245,0.8892156862745098,0.8998015873015873,0.24893541049182713,0.07344148973089554
URL + TLS + page fetch,20,-0.027216856892010477,0.9315188762071993,0.9865831229153028,0.9844942175008915,0.9194174757281554,0.9284313725490196,0.9239024390243903,0.14753998523118447,0.04762828170786319
Everything computable in 2026,25,-0.019754170324846276,0.9389815627743635,0.98762780947037,0.9861573712842973,0.9357072205736894,0.9274509803921569,0.931560807483998,0.14151238800587787,0.04438276886540619
