k,accuracy,auroc,aupr,precision,recall,f1,log_loss,brier
1,0.902107111501317,0.9070361451416814,0.862202298172825,0.8988988988988988,0.8803921568627451,0.8895492818226844,0.3160476130349823,0.08786126125284015
2,0.9170324846356454,0.9603732192400013,0.9446495237299334,0.9192734611503531,0.8931372549019608,0.9060169070114371,0.2245045396782979,0.06667051603549586
3,0.9315188762071993,0.9679057950684249,0.9625731088612783,0.9337349397590361,0.9117647058823529,0.9226190476190477,0.20543855100175673,0.059759700559412654
4,0.9350307287093942,0.9724644627326288,0.9658430558473504,0.9412955465587044,0.9117647058823529,0.9262948207171314,0.18870436731797588,0.055849343689176024
5,0.935908691834943,0.9766965927865581,0.9718759866181056,0.9387550200803213,0.9166666666666666,0.9275793650793651,0.17662717208813958,0.052560717037835464
6,0.9394205443371378,0.9785560647152343,0.9756951128367014,0.95,0.9127450980392157,0.931,0.17127567439137048,0.05125239435091023
7,0.9429323968393327,0.9814165809408024,0.9785300860283184,0.9494949494949495,0.9215686274509803,0.9353233830845771,0.16240022797826317,0.04887315343188676
8,0.9442493415276558,0.9819013217369619,0.9790831548378724,0.9560776302349336,0.9176470588235294,0.9364682341170585,0.16191477167172252,0.04862386207340621
9,0.9424934152765584,0.9810074347704105,0.9784064685856638,0.9531090723751274,0.9166666666666666,0.9345327336331835,0.16397704461475557,0.04971016548619009
10,0.9433713784021072,0.9814372330808318,0.978791380741775,0.953204476093591,0.9186274509803921,0.9355966050923614,0.16220949640046473,0.04902049885760466
11,0.9429323968393327,0.9818066336232426,0.9791114056920542,0.9531568228105907,0.9176470588235294,0.935064935064935,0.16152036363942793,0.04874937972550588
12,0.9394205443371378,0.9811126437856542,0.978261447493624,0.948170731707317,0.9147058823529411,0.9311377245508982,0.16390226802598334,0.050057019112906616
